KODM,10.115.50.52
Regal-Princess,10.122.197.137
Caribbean-Princess,10.120.8.140
NADM,10.9.200.52
EUDM,10.9.196.53
WEDM,10.9.184.53
NSDM,10.115.114.52
Royal-Princess,10.10.68.120
Sun-Princess,172.29.222.196
Sky-Princess,10.125.5.144
Sapphire-Princess,172.29.196.193
Majestic-Princess,10.124.178.51
Ruby-Princess,172.29.134.228
Grand-Princess,172.29.227.244
Crown-Princess,172.29.239.244
Ovation,10.118.50.52
Encore,10.117.242.52
Odyssey,10.117.50.52
